Mach,YoungsModulus3,Density1,Density3,Flutter Speed,Mass,Flutter Frequency
0.15,62000000000.0,850.0,2645.0,63.59834117864108,0.3347787,33.867400921814586
0.15,71070866141.732,904.0,2705.484,67.66919409879019,0.3464787,35.15324169853331
0.15,66535433070.866,958.0,2765.968,65.3886205423427,0.3581787,33.38843196006979
0.15,75606299212.598,868.0,2826.452,69.95164141515266,0.3506525,36.26956319120812
0.15,64267716535.433,922.0,2886.935,64.49703532844089,0.3623525,32.99439526976918
0.15,73338582677.165,976.0,2657.097,68.56649300388534,0.3524996,34.90959845254293
0.15,68803149606.299,886.0,2717.581,66.70226665189065,0.3449734,34.83360463417469
0.15,77874015748.031,940.0,2778.065,70.58894983955354,0.3566734,35.99648626281179
0.15,63133858267.717,994.0,2838.548,63.65289203672643,0.3683735,32.08989459537989
0.15,72204724409.449,856.0,2899.032,68.57926095685626,0.3544385,35.485774873766424
0.15,67669291338.583,910.0,2669.194,66.07145117968582,0.3445857,34.411958989032954
0.15,76740157480.315,964.0,2729.677,70.04786161577238,0.3562857,35.59411750101719
0.15,65401574803.15,874.0,2790.161,65.21499097187088,0.3487595,34.020012636391634
0.15,74472440944.882,928.0,2850.645,69.15207842139776,0.3604595,35.24778195636731
0.15,69937007874.016,982.0,2911.129,66.91567350412686,0.3721595,33.54731975733922
0.15,79007874015.748,892.0,2681.29,71.24694499679818,0.3430804,37.074536804909854
0.15,62566929133.858,946.0,2741.774,63.51728954060158,0.3547804,32.67483689420299
0.15,71637795275.591,1000.0,2802.258,67.65522831866545,0.3664805,33.95581758518281
0.15,67102362204.724,862.0,2862.742,66.15865722289521,0.3525455,34.36742026758018
0.15,76173228346.457,916.0,2923.226,70.00858151710078,0.3642455,35.56602052237305
0.15,64834645669.291,970.0,2693.387,64.5632532654619,0.3543927,33.035983595608705
0.15,73905511811.024,880.0,2753.871,69.07707778882931,0.3468665,35.94401754842427
0.15,69370078740.157,934.0,2814.355,66.80154181316168,0.3585665,34.167716255565715
0.15,78440944881.89,988.0,2874.839,70.69276134975625,0.3702665,35.32908253370563
0.15,63700787401.575,898.0,2935.323,64.39960478135038,0.3627403,33.01103648748302
0.15,72771653543.307,952.0,2647.419,68.33668014316763,0.3485768,35.09161318841868
0.15,68236220472.441,1006.0,2707.903,66.14008076399536,0.3602769,33.36695538215147
0.15,77307086614.173,852.0,2768.387,70.74067751612765,0.3442057,36.99374045937038
0.15,65968503937.008,906.0,2828.871,65.34416467054818,0.3559057,33.69122967537766
0.15,75039370078.74,960.0,2889.355,69.29085682497592,0.3676057,34.91125628546943
0.15,70503937007.874,870.0,2659.516,67.5335531386635,0.3385266,35.56052110206959
0.15,79574803149.606,924.0,2720.0,71.3814006991265,0.3502266,36.687740783930415
0.15,62283464566.929,978.0,2780.484,63.28439902314758,0.3619266,32.184714583321224
0.15,71354330708.661,888.0,2840.968,67.9420740508282,0.3544004,35.06614446731475
0.15,66818897637.795,942.0,2901.452,65.61898857758416,0.3661005,33.317852554726464
0.15,75889763779.528,996.0,2671.613,69.69890128883685,0.3562476,35.179509545529235
0.15,64551181102.362,858.0,2732.097,64.85253656040658,0.3423126,34.15591197677505
0.15,73622047244.094,912.0,2792.581,68.81800020182861,0.3540127,35.396130009801105
0.15,69086614173.228,966.0,2853.065,66.56366965257028,0.3657127,33.66542613625723
0.15,78157480314.961,876.0,2913.548,71.10117211779436,0.3581865,36.48326307057464
0.15,63417322834.646,930.0,2683.71,63.98164901707279,0.3483336,33.17735892155597
0.15,72488188976.378,984.0,2744.194,68.10079597501414,0.3600336,34.44014539600678
0.15,67952755905.512,894.0,2804.677,66.31695917892726,0.3525074,34.3326811320868
0.15,77023622047.244,948.0,2865.161,70.20307338900243,0.3642074,35.51514829407088
0.15,65685039370.079,1002.0,2925.645,64.86739939794192,0.3759075,32.39251940619197
0.15,74755905511.811,864.0,2695.806,69.50238444438482,0.3404196,36.48408581232496
0.15,70220472440.945,918.0,2756.29,67.23849787890104,0.3521196,34.675701716072794
