Index,Mode,Velocity,Damping,Frequency,Kfreq
CSD,Mode 1,1.0,-0.0065173567,4.4675256,1.3881
CSD,Mode 1,2.0,-0.013515903,4.4703791,0.6945
CSD,Mode 1,3.0,-0.021228439,4.4730221,0.4633
CSD,Mode 1,4.0,-0.029333439,4.4752415,0.3476
CSD,Mode 1,5.0,-0.037673575,4.4770288,0.2782
CSD,Mode 1,6.0,-0.046165093,4.4784173,0.2319
CSD,Mode 1,7.0,-0.054764908,4.4794664,0.1988
CSD,Mode 1,8.0,-0.0634465,4.4802092,0.174
CSD,Mode 1,9.0,-0.072198135,4.4806879,0.1547
CSD,Mode 1,10.0,-0.08101628,4.4809315,0.1392
CSD,Mode 1,11.0,-0.089895096,4.4809576,0.1266
CSD,Mode 1,12.0,-0.09883368,4.4807863,0.116
CSD,Mode 1,13.0,-0.1078342,4.4804301,0.1071
CSD,Mode 1,14.0,-0.11690052,4.4798978,0.0994
CSD,Mode 1,15.0,-0.12603732,4.4791957,0.0928
CSD,Mode 1,16.0,-0.13524923,4.4783331,0.087
CSD,Mode 1,17.0,-0.14454161,4.477316,0.0818
CSD,Mode 1,18.0,-0.15392042,4.4761488,0.0773
CSD,Mode 1,19.0,-0.16339215,4.4748335,0.0732
CSD,Mode 1,20.0,-0.17296363,4.4733716,0.0695
CSD,Mode 1,21.0,-0.18264207,4.4717625,0.0662
CSD,Mode 1,22.0,-0.19243503,4.470005,0.0631
CSD,Mode 1,23.0,-0.20235044,4.468096,0.0604
CSD,Mode 1,24.0,-0.21239648,4.4660333,0.0578
CSD,Mode 1,25.0,-0.22258174,4.4638136,0.0555
CSD,Mode 1,26.0,-0.23290176,4.4614509,0.0533
CSD,Mode 1,27.0,-0.24339214,4.4589039,0.0513
CSD,Mode 1,28.0,-0.25405008,4.4561835,0.0494
CSD,Mode 1,29.0,-0.26488577,4.453284,0.0477
CSD,Mode 1,30.0,-0.27590983,4.4501975,0.0461
CSD,Mode 1,31.0,-0.28713335,4.4469179,0.0446
CSD,Mode 1,32.0,-0.29856819,4.4434371,0.0431
CSD,Mode 1,33.0,-0.31022717,4.4397433,0.0418
CSD,Mode 1,34.0,-0.32212341,4.4358304,0.0405
CSD,Mode 1,35.0,-0.33427139,4.4316846,0.0393
CSD,Mode 1,36.0,-0.34668643,4.4272927,0.0382
CSD,Mode 1,37.0,-0.35938442,4.4226455,0.0371
CSD,Mode 1,38.0,-0.3723831,4.417724,0.0361
CSD,Mode 1,39.0,-0.38570064,4.4125169,0.0352
CSD,Mode 1,40.0,-0.3993573,4.407003,0.0342
CSD,Mode 1,41.0,-0.41337443,4.4011639,0.0334
CSD,Mode 1,42.0,-0.42777486,4.3949809,0.0325
CSD,Mode 1,43.0,-0.44258358,4.3884297,0.0317
CSD,Mode 1,44.0,-0.45782739,4.3814858,0.0309
CSD,Mode 1,45.0,-0.47353541,4.3741215,0.0302
CSD,Mode 1,46.0,-0.48973865,4.3663111,0.0295
CSD,Mode 1,47.0,-0.50647208,4.3580161,0.0288
CSD,Mode 1,48.0,-0.52377284,4.3492027,0.0282
CSD,Mode 1,49.0,-0.54168188,4.3398302,0.0275
CSD,Mode 1,50.0,-0.56024429,4.3298528,0.0269
CSD,Mode 1,51.0,-0.57950823,4.3192298,0.0263
CSD,Mode 1,52.0,-0.59952911,4.3078988,0.0257
CSD,Mode 1,53.0,-0.62036615,4.2958054,0.0252
CSD,Mode 1,54.0,-0.64208709,4.282875,0.0246
CSD,Mode 1,55.0,-0.66476493,4.2690404,0.0241
CSD,Mode 1,56.0,-0.68848268,4.2542164,0.0236
CSD,Mode 1,57.0,-0.71333362,4.2383067,0.0231
CSD,Mode 1,58.0,-0.73942237,4.2212054,0.0226
CSD,Mode 1,59.0,-0.76686694,4.2027948,0.0221
CSD,Mode 1,60.0,-0.79580296,4.1829337,0.0217
CSD,Mode 1,61.0,-0.82638346,4.1614715,0.0212
CSD,Mode 1,62.0,-0.8587847,4.1382339,0.0207
CSD,Mode 1,63.0,-0.89321202,4.113013,0.0203
CSD,Mode 1,64.0,-0.9299038,4.0855728,0.0198
CSD,Mode 1,65.0,-0.9691372,4.0556495,0.0194
CSD,Mode 1,66.0,-1.0112434,4.0229201,0.0189
CSD,Mode 1,67.0,-1.0566145,3.9870177,0.0185
CSD,Mode 1,68.0,-1.1057235,3.9475051,0.018
CSD,Mode 1,69.0,-1.1591467,3.9038609,0.0176
CSD,Mode 1,70.0,-1.2175931,3.8554648,0.0171
